组别,分案人力,分案剩余本金,累计回退,累计回退率,与首催第一差异金额,首催分案,首催回退,首催回退率,当日老案回退
CD-F1,3,62727203.28,47946172.65,0.7643601203767871,0.0,5663849.6899999995,4274440.9,0.7546882657473915,863440.1599999999
CD-F2,3,61971261.56,49875202.5,0.8048117989612216,131363.9699999988,5532485.720000001,3993189.04,0.721771233057968,50730.560000000085
ZZ-F1,4,80572591.17,67032066.35,0.83194626580358,-1848106.8600000003,7511956.55,5373209.31,0.715287591752644,1241646.62
ZZ-F2,3,61789897.19,51710351.900000006,0.8368738944652063,139689.18999999948,5524160.5,3597587.6,0.6512460309580071,1178215.1700000002
ZZ-F3,2,42246700.099999994,34462864.21,0.8157528074009266,1825362.3399999994,3838487.35,2652692.45,0.6910775542871074,489945.64
ZZ-F4,3,59680903.949999996,46521315.65,0.7795008548961497,456217.9199999999,5207631.77,3881314.8,0.7453128353581728,1053831.87
ZZ-F5,2,41044635.400000006,33714606.81,0.8214132366248281,2039260.5899999994,3624589.1,2536026.94,0.6996729477556504,301910.7900000002
