催员,当日累计回退,10点前回款,10-12点,12-14点,14-16点,16-18点,18-20点,20-23点,当日回退排名,地区,组别,备注
w47575,486992.64,137336.13,52262.64,142324.93,113924.08,0.0,0.0,41144.86,54,郑州,ZZ-F3,常规
w40826,486387.38,189005.12,86652.91,24294.11,24799.47,65407.89,62471.63,33756.25,55,成都一,CD-F2,常规
w46390,482677.17,186891.94,107229.38,40380.52,39512.63,102646.98,6015.72,0.0,56,郑州,ZZ-F5,常规
w36893,475068.47,104656.92,121817.3,160372.34,0.0,83221.91,5000.0,0.0,57,郑州,ZZ-F1,常规
w41336,471352.12,249906.09,4534.8,62292.13,25746.99,89034.74,39837.37,0.0,58,郑州,ZZ-F2,常规
w42347,465331.08,72252.81,176077.73,96153.15,67767.43,25000.0,0.0,28079.96,59,郑州,ZZ-F4,常规
w48124,464442.03,82235.23,149454.15,128537.95,34163.04,70051.66,0.0,0.0,60,成都一,CD-F1,常规
w47497,463575.07,183491.65,40000.0,59966.05,0.0,112318.14,24226.91,43572.32,61,郑州,ZZ-F4,常规
w47230,462101.4,286559.96,48618.21,26738.88,30374.85,6586.68,63222.82,0.0,62,郑州,ZZ-F2,常规
w46665,461392.95,141110.99,262470.42,0.0,0.0,0.0,57811.54,0.0,63,郑州,ZZ-F5,常规
w39110,460268.61,180389.76,101102.14,0.0,100018.84,51945.26,26812.61,0.0,64,郑州,ZZ-F1,常规
w39427,459100.53,89905.6,83707.51,156010.65,0.0,16014.82,42361.23,71100.72,65,郑州,ZZ-F1,常规
w39543,458063.89,194237.94,196850.26,1701.46,0.0,1025.03,8860.47,55388.73,66,郑州,ZZ-F4,常规
w40824,457432.6,160513.26,117339.88,25745.23,44353.45,65980.78,0.0,43500.0,67,成都一,CD-F1,常规
w42292,449579.26,153338.53,100831.69,42633.98,20478.78,34116.99,70416.54,27762.75,68,郑州,ZZ-F5,常规
w47669,441193.89,105222.73,153993.74,27265.62,119890.96,33582.39,1238.45,0.0,69,成都一,CD-F2,常规
w47989,431716.58,202719.63,44860.6,142223.34,0.0,41054.39,0.0,858.62,70,郑州,ZZ-F3,常规
w45170,429865.85,110597.59,192321.56,64641.64,0.0,0.0,27059.07,35245.99,71,郑州,ZZ-F4,常规
w42013,429647.03,10945.86,124132.42,79214.01,80210.87,86657.83,21387.03,27099.01,72,成都一,CD-F2,常规
w47231,425260.6,134371.29,195925.78,0.0,34291.3,60672.23,0.0,0.0,73,郑州,ZZ-F2,常规
w47240,422298.74,121407.76,100859.4,58270.99,90016.53,17995.5,0.0,33748.56,74,成都一,CD-F1,常规
w46823,422059.9,293717.34,104763.02,0.0,0.0,23579.54,0.0,0.0,75,郑州,ZZ-F3,常规
w36889,421404.69,100683.11,144144.62,16786.92,4385.17,82730.4,72674.47,0.0,76,郑州,ZZ-F1,常规
w46934,420765.66,56208.14,126443.27,56475.68,0.0,43907.98,0.0,137730.59,77,郑州,ZZ-F3,常规
w44967,420394.24,235606.17,32453.56,52023.6,34523.04,56007.53,0.0,9780.34,78,成都一,CD-F1,常规
w45172,417731.35,254958.25,82927.75,18456.68,0.0,29465.52,8494.0,23429.15,79,郑州,ZZ-F5,常规
w44843,414822.28,75938.91,242888.52,0.0,0.0,55384.42,0.0,40610.43,80,郑州,ZZ-F3,常规
w38145,401738.86,139382.28,87740.06,26170.64,89330.71,22966.84,0.0,36148.33,81,郑州,ZZ-F5,常规
w38139,395434.4,100238.79,64441.54,122831.53,0.0,107922.54,0.0,0.0,82,郑州,ZZ-F4,常规
w44663,393530.16,101460.6,85061.28,61615.8,70418.63,49385.75,0.0,25588.1,83,郑州,ZZ-F2,常规
w47670,388488.6,101899.5,157872.88,1731.19,15757.0,47814.43,16092.62,47320.98,84,成都一,CD-F2,常规
w30974,382126.07,254942.13,64566.68,0.0,0.0,22540.95,0.0,40076.31,85,成都一,CD-F1,常规
w44662,378622.72,153103.31,24538.76,7318.37,108979.64,60847.28,1373.51,22461.85,86,郑州,ZZ-F2,常规
w42556,369662.85,273793.4,39808.48,28570.92,19188.25,0.0,8301.8,0.0,87,郑州,ZZ-F2,常规
w40833,362645.04,73737.62,141182.44,77193.98,0.0,70438.01,92.99,0.0,88,成都一,CD-F2,常规
w46928,359942.06,135516.48,43980.49,41743.62,58929.51,27898.62,843.9,51029.44,89,郑州,ZZ-F4,常规
w46389,356504.23,86959.98,43288.73,109430.55,101344.68,8917.69,2618.64,3943.96,90,郑州,ZZ-F5,常规
w42587,351179.24,144951.01,188017.1,18029.82,0.0,0.0,181.31,0.0,91,成都一,CD-F2,常规
w38142,348513.0,117428.83,66748.59,50944.64,76513.5,36877.44,0.0,0.0,92,郑州,ZZ-F2,常规
w36888,336715.27,126016.76,49169.64,5587.69,65435.45,17874.6,52369.32,20261.81,93,郑州,ZZ-F1,常规
w42288,282908.77,128707.62,75255.71,23855.55,55089.89,0.0,0.0,0.0,94,郑州,ZZ-F4,常规
w40777,240720.84,23180.27,82408.09,56686.71,44486.14,0.0,33959.63,0.0,95,郑州,ZZ-F4,常规
w40831,238178.91,97296.79,27986.04,40099.94,51449.57,21346.57,0.0,0.0,96,成都一,CD-F2,常规
w47810,233383.18,62837.89,34133.66,59430.64,36884.78,24617.73,0.0,15478.48,97,郑州,ZZ-F3,小额
w47988,201698.68,56797.66,7036.27,20609.28,55307.66,19517.02,20111.73,22319.06,98,郑州,ZZ-F4,小额
w47987,196007.28,67396.13,7385.23,146.5,2054.67,82050.7,26959.32,10014.73,99,郑州,ZZ-F5,小额
w47578,176606.84,47307.0,33443.45,33577.38,17000.0,22063.07,10440.14,12775.8,100,郑州,ZZ-F5,小额
w47577,171649.4,52567.28,52354.69,17050.66,33609.91,16066.86,0.0,0.0,101,郑州,ZZ-F5,小额
w47791,163277.93,74457.04,26931.13,0.0,26524.77,0.0,12835.69,22529.3,102,郑州,ZZ-F2,小额
w36906,161268.2,0,0,0,0,0,0,0,103,全部,自然流,常规
w43171,160896.74,35153.59,0.0,46990.03,26092.23,9325.04,11384.94,31950.91,104,成都一,CD-F1,小额
w47368,159782.1,27440.11,26665.13,36508.26,8156.06,37001.08,0.0,24011.46,105,郑州,ZZ-F4,小额
w48121,159373.71,36008.52,35668.43,10524.34,11624.14,8419.59,14433.31,42695.38,106,成都一,CD-F2,小额
w47668,128668.94,42756.92,20389.31,19840.96,34187.7,11494.05,0.0,0.0,107,成都一,CD-F2,小额
w48525,120820.8,53601.44,29042.59,11786.84,878.26,159.56,20148.66,5203.45,108,成都一,CD-F1,小额
w48125,116702.24,5106.54,43905.91,30042.07,19683.93,4365.4,0.0,13598.39,109,成都一,CD-F1,小额
w47986,114557.87,37432.65,224.82,0.0,0.0,60278.54,12933.31,3688.55,110,郑州,ZZ-F2,小额
w48526,110742.09,25014.01,31705.92,0.0,20529.94,12841.18,20651.04,0.0,111,成都一,CD-F1,小额
w45223,109405.72,31489.21,14448.37,1325.81,36848.27,1090.22,4967.46,19236.38,112,郑州,ZZ-F1,小额
w45716,100583.51,20108.56,6428.69,4663.12,12427.95,16358.38,25622.69,14974.12,113,郑州,ZZ-F4,常规
w47576,100343.4,11464.25,34428.29,0.0,22659.85,13648.06,14504.26,3638.69,114,郑州,ZZ-F1,小额
w47991,97245.13,44350.09,8612.31,10193.16,8481.95,25607.62,0.0,0.0,115,郑州,ZZ-F3,小额
w47793,88343.74,12155.29,25085.86,10195.94,4356.53,0.0,17400.77,19149.35,116,郑州,ZZ-F1,小额
w41546,80572.54,0,0,0,0,0,0,0,117,全部,自然流,常规
w46932,77617.67,0.0,0.0,77617.67,0.0,0.0,0.0,0.0,118,郑州,ZZ-F4,常规
w48698,17434.8,0,0,0,0,0,0,0,119,全部,自然流,常规
w39631,13111.0,0,0,0,0,0,0,0,120,全部,自然流,常规
w37983,7201.79,0.0,0.0,0.0,3957.38,0.0,0.0,3244.41,121,郑州,ZZ-F4,常规
w37131,4194.15,0,0,0,0,0,0,0,122,全部,自然流,常规
w40837,3132.64,0,0,0,0,0,0,0,123,全部,自然流,常规
w36908,3052.49,0,0,0,0,0,0,0,124,全部,自然流,常规
