section,组别,分案人力,分案剩余本金,累计回退,累计回退率,分公司回退率,差异点位,差异金额,首催分案,首催回退,首催回退率,分公司首催回退率,剩余老案,当日老案回退,当日老案回退率,分公司当日老案回退率
全量数据,CD-F1,20,147942780.8,110259750.17000002,0.7452864517874468,0.7502211928708878,-0.004934741083441052,-730059.3184122741,9296762.38,5414857.92,0.582445554556596,0.5850799032794588,0,869353.4499999998,0.005876281663079296,0.006314029674563612
全量数据,CD-F2,19,147519375.08999997,111402220.87,0.7551700975009874,0.7502211928708878,0.00494890463009956,730059.3184122945,11104430.299999999,6521469.920000002,0.5872854116613261,0.5850799032794588,0,996203.3700000001,0.006753034097332823,0.006314029674563612
全量数据,CD-F3,6,50549802.089999996,39077547.849999994,0.7730504618084449,0.7730504618084449,0.0,0.0,3750447.71,1655046.71,0.4412931036438847,0.4412931036438847,0,307451.1700000001,0.006082143891535068,0.006082143891535068
全量数据,ZZ-F1,24,178372778.09000003,139144578.78000003,0.7800774326102217,0.75881411412307,0.021263318487151683,3792797.1899657026,12480388.05,8099516.8,0.6489795643814136,0.5968962464969344,0,1511614.47,0.00847446839246568,0.008137323253636468
全量数据,ZZ-F2,18,135978067.05,105076831.48999996,0.7727483833945259,0.75881411412307,0.013934269271455912,1894755.001286787,9888373.209999999,5640323.419999999,0.5703995288422169,0.5968962464969344,0,1487763.1300000008,0.01094119928512398,0.008137323253636468
全量数据,ZZ-F3,17,95488000.85999998,72028157.41999999,0.7543163200746478,0.75881411412307,-0.00449779404842221,-429485.3619638428,6883271.23,4205815.83,0.6110199190857687,0.5968962464969344,0,716576.13,0.007504357862205224,0.008137323253636468
全量数据,ZZ-F4,20,149252474.42000008,108383456.18,0.7261752718082672,0.75881411412307,-0.03263884231480274,-4871427.977688512,10016181.150000002,5355578.86,0.5346926917351129,0.5968962464969344,0,842736.7000000001,0.005646383440374453,0.008137323253636468
全量数据,ZZ-F5,18,112206635.89,84757340.16000003,0.7553683388484309,0.75881411412307,-0.0034457752746390735,-386638.85160019126,8065051.0200000005,4951813.100000001,0.613984100995805,0.5968962464969344,0,903878.0399999996,0.008055477582325008,0.008137323253636468
