组别,分案人力,分案剩余本金,累计回退,累计回退率,与首催第一差异金额,首催分案,首催回退,首催回退率,当日老案回退
CD-F1,5,5571057.21,2261086.3600000003,0.40586306597989513,-273263.37000000005,372749.49000000005,93767.98,0.25155763459260533,115036.56
CD-F2,4,3752831.4299999997,1635935.59,0.4359203498783318,0.0,99486.12,38539.67,0.387387406404029,26478.5
ZZ-F1,5,4684639.17,1666038.1400000001,0.35563851975391314,-113682.47,213168.59,13649.810000000001,0.06403293280684552,93532.73000000001
ZZ-F2,4,3392626.09,1353320.02,0.39890043408821396,-109605.58000000002,209091.7,42564.74,0.20356972562755957,92333.78000000001
ZZ-F3,6,3354161.4099999997,1528325.83,0.45565065099237434,-111801.82,211287.94,57898.759999999995,0.2740277556778678,188396.96000000002
ZZ-F4,3,4295677.5,3550856.58,0.8266115368297551,-111353.55000000002,210839.67,51711.7,0.24526551383807418,216186.43999999997
ZZ-F5,5,5067650.399999999,2162376.36,0.42670196034043706,-209213.2,308699.32,69514.91,0.22518646947456833,120748.65999999997
