催员,组别,案件数,分案剩余本金,累计回退,累计回退率,各段位与第一名差异,首催分案,首催回退,首催回退率,回退额排名,当日老案回退,类别,地区
w46928,ZZ-F4,1272,6407598.39,4676282.94,0.7298,15834785.48,448156.51,174432.24,0.3892,35,0.0,常规,
w40833,CD-F2,1252,6140150.42,4659395.43,0.7587999999999999,15851672.990000002,0.0,0.0,0.0,36,17226.69,常规,
w39110,ZZ-F1,1416,6496159.22,4655096.81,0.7166,15855971.610000003,451525.77,157154.03,0.3481,37,75980.68999999997,常规,
w44967,CD-F1,1072,6009264.61,4641769.65,0.7724,15869298.770000001,493242.33,291086.97,0.5902000000000001,38,111460.79,常规,
w47230,ZZ-F2,1154,6380741.43,4633946.25,0.7262000000000001,15877122.170000002,417256.16,293489.87,0.7034,39,105589.21,常规,
w46390,ZZ-F5,1466,6367568.25,4602845.05,0.7229000000000001,15908223.370000001,476163.27,269312.29,0.5656,40,47947.04999999999,常规,
w39427,ZZ-F1,1199,6396619.37,4589552.38,0.7175,15921516.040000003,451848.45,268322.43,0.5938,41,59195.02000000002,常规,
w47483,ZZ-F4,1338,6313863.29,4569312.43,0.7237,15941755.990000002,451751.67,263331.39,0.5829,42,52416.94,常规,
w47575,ZZ-F3,1178,6462929.16,4545986.01,0.7034,15965082.410000002,475485.7,169469.26,0.3564,43,49399.73999999999,常规,
w47427,ZZ-F3,1370,6407826.68,4531439.4,0.7071999999999999,15979629.020000001,479492.87,232940.58,0.4858,44,46868.30000000002,常规,
w44077,CD-F1,1378,6577247.34,4527371.64,0.6883,15983696.780000001,499127.74,339699.67,0.6806,45,38273.83000000007,常规,
w12793,CD-F1,1108,5905404.66,4493887.73,0.7609999999999999,16017180.690000001,501033.34,312501.9,0.6236999999999999,46,1691.839999999967,常规,
w43170,CD-F2,938,5744381.76,4488440.29,0.7814,16022628.130000003,485997.15,223566.32,0.46,47,69289.59999999998,常规,
w41336,ZZ-F2,1109,5728400.28,4481486.53,0.7823,16029581.89,471556.51,221540.47,0.4698,48,124721.75,常规,
w46823,ZZ-F3,1353,6243766.88,4474971.46,0.7167,16036096.96,471931.43,235338.93,0.4987,49,29870.17999999999,常规,
w44661,ZZ-F2,1264,6442608.74,4458728.88,0.6920999999999999,16052339.540000003,457593.37,169777.81,0.371,50,25000.0,常规,
w41234,ZZ-F2,1357,6429647.54,4433451.06,0.6895,16077617.360000003,475702.16,285774.5,0.6007,51,37552.78999999998,常规,
w42587,CD-F2,1011,5906534.35,4426535.64,0.7494,16084532.780000001,505000.65,288994.37,0.5722999999999999,52,36290.33999999997,常规,
w46576,ZZ-F5,1326,6314810.27,4403264.54,0.6973,16107803.880000003,478352.83,200418.16,0.419,53,15085.12,常规,
w47428,ZZ-F3,1356,6376668.93,4399859.96,0.69,16111208.46,449638.8,310183.48,0.6899,54,190203.9300000001,常规,
w44843,ZZ-F3,1214,5740586.24,4357270.29,0.759,16153798.130000003,440526.76,271008.28,0.6152000000000001,55,110648.35,常规,
w46528,CD-F1,1286,5773077.61,4335134.98,0.7509,16175933.440000001,483727.49,299073.25,0.6183,56,1086.770000000019,常规,
w40825,CD-F1,1289,5988547.88,4321654.06,0.7217,16189414.360000003,478471.72,258181.14,0.5396,57,47664.06999999995,常规,
w47231,ZZ-F2,1364,6280926.42,4313500.52,0.6868000000000001,16197567.900000002,478153.81,221509.59,0.4633,58,28821.35999999999,常规,
w42013,CD-F2,1281,5938244.78,4241906.82,0.7143,16269161.600000001,498960.14,210663.14,0.42219999999999996,59,175709.76,常规,
w46477,ZZ-F5,1333,6402078.79,4238051.35,0.662,16273017.070000002,475317.13,192617.26,0.4052,60,30628.51999999999,常规,
w40831,CD-F2,1026,5763652.81,4194383.21,0.7277,16316685.21,466518.17,421085.65,0.9026000000000001,61,88824.25999999995,常规,
w44663,ZZ-F2,1211,6369397.79,4187363.77,0.6574,16323704.650000002,478246.45,245798.24,0.514,62,47974.32000000001,常规,
w47497,ZZ-F4,1291,6393829.51,4182581.1,0.6542,16328487.320000002,477317.08,218861.3,0.4585,63,27734.56,常规,
w42288,ZZ-F4,1256,5906129.55,4173217.83,0.7066,16337850.590000002,0.0,0.0,0.0,64,0.0,常规,
w46869,CD-F2,1133,5935773.68,4149519.68,0.6990999999999999,16361548.740000002,494759.27,179827.03,0.3635,65,138006.22,常规,
w46934,ZZ-F3,1097,5744750.12,4122629.36,0.7176,16388439.060000002,441431.83,280169.5,0.6347,66,87666.12000000005,常规,
w40818,CD-F1,999,5351435.95,4110812.58,0.7681999999999999,16400255.840000002,483879.07,277815.47,0.5740999999999999,67,52594.43000000005,常规,
w30974,CD-F1,1189,5480246.7,4104928.84,0.7490000000000001,16406139.580000002,0.0,0.0,0.0,68,34447.83,常规,
w47669,CD-F2,1092,5971682.44,4104024.42,0.6872,16407044.000000002,501378.08,399164.04,0.7961,69,66291.25,常规,
w36893,ZZ-F1,921,5226380.1,4090337.1,0.7826000000000001,16420731.320000002,477872.55,262733.42,0.5498,70,5.820766091346741e-11,常规,
w48124,CD-F1,1101,5770628.03,4008136.02,0.6945999999999999,16502932.400000002,485008.8,208490.21,0.4299,71,495.3000000000175,常规,
w42684,CD-F2,1098,5973736.22,3978691.26,0.6659999999999999,16532377.160000002,501052.45,340107.29,0.6788,72,22246.42999999999,常规,
w45170,ZZ-F4,1198,5648165.51,3880048.72,0.687,16631019.700000001,465507.54,239619.13,0.5146999999999999,73,71005.54999999999,常规,
w39543,ZZ-F4,1090,5814475.17,3824599.09,0.6578,16686469.330000002,467208.97,178572.9,0.3822,74,54399.28,常规,
w38139,ZZ-F4,1119,5753239.67,3820331.87,0.664,16690736.55,455224.94,229515.2,0.5042,75,44921.04999999999,常规,
w47670,CD-F2,1207,5908047.69,3764374.49,0.6372,16746693.930000002,500810.33,220249.0,0.43979999999999997,76,234079.97,常规,
w43034,ZZ-F1,913,4722810.25,3686255.6,0.7805,16824812.82,471182.49,252011.14,0.5347999999999999,77,238014.97,常规,
w40777,ZZ-F4,1396,6354000.1,3599719.46,0.5665,16911348.96,433091.83,107672.81,0.2486,78,57822.35000000001,常规,
w41335,ZZ-F1,1058,4792094.81,3511303.35,0.7326999999999999,16999765.07,0.0,0.0,0.0,79,0.0,常规,
w46932,ZZ-F4,933,5295250.86,3440854.29,0.6498,17070214.130000003,0.0,0.0,0.0,80,0.0,常规,
w36906,自然流,0,3162272.83,3175634.35,1.0042252900740383,17335434.07,0,0,0,0,0,常规,
w41546,自然流,0,3141002.46,3141002.46,1.0,17370065.96,0,0,0,0,0,常规,
w47236,ZZ-F1,745,4148934.11,2308809.39,0.5565,18202259.03,0.0,0.0,0.0,81,0.0,常规,
w45716,ZZ-F4,377,691815.24,2049305.13,2.9622,18461763.290000003,105708.71,5032.75,0.047599999999999996,1,80660.79,小额,
w47238,ZZ-F5,450,2826316.41,1766147.26,0.6249,18744921.16,0.0,0.0,0.0,82,0.0,常规,
w45716.,ZZ-F4,1077,4677639.71,1382569.92,0.2956,19128498.5,0.0,0.0,0.0,83,0.0,常规,
w47368,ZZ-F4,1120,1816723.99,940496.93,0.5177,19570571.490000002,105130.96,46678.95,0.444,2,114090.4,小额,
w47988,ZZ-F4,875,1787138.27,883417.11,0.4943,19627651.310000002,0.0,0.0,0.0,3,24286.55,小额,
w47987,ZZ-F5,1137,1890594.68,872062.37,0.46130000000000004,19639006.05,106632.61,25108.72,0.23550000000000001,4,41798.39999999999,小额,
w43171,CD-F1,952,1644661.01,812453.24,0.494,19698615.180000003,96484.64,20331.34,0.2107,5,31881.55,小额,
w48121,CD-F2,1300,1797607.78,812128.8,0.4518,19698939.62,0.0,0.0,0.0,6,23292.96,小额,
w47810,ZZ-F3,901,1694348.71,751724.79,0.4437,19759343.630000003,102564.74,29890.09,0.2914,7,46554.91,小额,
w47991,ZZ-F3,839,1594050.68,730882.73,0.4585,19780185.69,108723.2,28008.67,0.2576,8,117733.21,小额,
w47668,CD-F2,979,1667843.72,730211.83,0.4378,19780856.590000004,99486.12,38539.67,0.3874,9,13397.3,小额,
w47791,ZZ-F2,1124,1725470.04,713465.83,0.41350000000000003,19797602.590000004,100990.75,12501.96,0.12380000000000001,10,37041.31,小额,
w48125,CD-F1,1110,1883007.36,699653.45,0.3716,19811414.970000003,92793.56,9567.32,0.10310000000000001,11,45908.62,小额,
w47578,ZZ-F5,999,1602818.58,671385.68,0.4189,19839682.740000002,105410.17,27757.33,0.2633,12,9163.139999999992,小额,
w47793,ZZ-F1,1076,1723859.16,651443.05,0.3779,19859625.37,0.0,0.0,0.0,13,0.0,小额,
w47986,ZZ-F2,894,1602629.21,630851.64,0.3936,19880216.78,108100.95,30062.78,0.2781,14,46289.92000000001,小额,
w47426,ZZ-F3,311,1109537.02,616970.96,0.5561,19894097.46,0.0,0.0,0.0,84,0.0,常规,
w47577,ZZ-F5,911,1574237.14,600334.88,0.38130000000000003,19910733.540000003,96656.54,16648.86,0.1722,15,51193.69,小额,
w45223,ZZ-F1,993,1514281.24,541014.34,0.35729999999999995,19970054.080000002,104647.55,9608.28,0.09179999999999999,16,43117.32999999999,小额,
w48525,CD-F1,802,1295586.63,521756.23,0.40270000000000006,19989312.19,93701.09,49979.26,0.5334,17,34718.57,小额,
w47576,ZZ-F1,827,1446498.77,487929.17,0.3373,20023139.25,108521.04,16370.85,0.1509,18,52434.50000000001,小额,
w48526,CD-F1,330,406458.47,160447.97,0.3947,20350620.450000003,89770.2,13890.06,0.1547,19,35815.82,小额,
w21122,CD-F3,15,153072.11,153072.11,1.0,20357996.310000002,0.0,0.0,0.0,85,0.0,常规,
w44714,自然流,0,114370.47,114370.47,1.0,20396697.950000003,0,0,0,0,0,常规,
w47667,CD-F1,219,341343.74,100063.47,0.29309999999999997,20411004.950000003,0.0,0.0,0.0,20,0.0,小额,
w47666,CD-F2,129,186905.51,57675.5,0.3086,20453392.92,0.0,0.0,0.0,21,0.0,小额,
w48123,CD-F2,44,100474.42,46131.22,0.45909999999999995,20464937.200000003,0.0,0.0,0.0,22,0.0,小额,
w48698,ZZ-F3,0,0.0,28958.75,0.0,20482109.67,0.0,0.0,0.0,23,11523.95,小额,
w48684,ZZ-F3,0,0.0,20530.04,0.0,20490538.380000003,0.0,0.0,0.0,24,20530.04,小额,
w48685,ZZ-F5,0,0.0,18254.1,0.0,20492814.32,0.0,0.0,0.0,25,18254.1,小额,
w37983,ZZ-F4,0,0.0,14889.72,0.0,20496178.700000003,0.0,0.0,0.0,6,0.0,常规,
w46566,ZZ-F3,0,0.0,13745.24,0.0,20497323.180000003,0.0,0.0,0.0,7,0.0,常规,
w38489,ZZ-F2,0,0.0,13532.53,0.0,20497535.89,0.0,0.0,0.0,8,0.0,常规,
w48691,ZZ-F2,0,0.0,9002.55,0.0,20502065.87,0.0,0.0,0.0,26,9002.55,小额,
w36905,ZZ-F1,0,0.0,8500.86,0.0,20502567.560000002,0.0,0.0,0.0,11,0.0,常规,
w42291,ZZ-F5,0,0.0,6587.62,0.0,20504480.8,0.0,0.0,0.0,14,0.0,常规,
w47795,ZZ-F3,68,65762.02,4174.67,0.0635,20506893.75,0.0,0.0,0.0,27,0.0,小额,
w48688,ZZ-F3,0,0.0,4154.69,0.0,20506913.73,0.0,0.0,0.0,28,4154.69,小额,
w48699,ZZ-F5,0,0.0,1000.0,0.0,20510068.42,0.0,0.0,0.0,29,1000.0,小额,
