组别,分案人力,分案剩余本金,累计回退,累计回退率,与首催第一差异金额,首催分案,首催回退,首催回退率,当日老案回退
CD-F1,12,72240482.48,53937936.1,0.7466441840962632,131384.29000000097,5316491.819999999,3110255.8200000003,0.5850203339539796,656789.4600000001
CD-F2,12,72441697.27,52808273.94,0.7289762102505194,0.0,5447876.11,3199675.25,0.5873252594945666,1051564.7699999998
CD-F3,6,49720792.8,38370744.84,0.771724316511703,1697428.4000000004,3750447.71,1694466.6,0.45180381944319925,390237.56000000006
ZZ-F1,14,83005350.1,61629995.61000001,0.7424822079028857,-175808.41000000015,5623684.5200000005,3260247.6100000003,0.579735153777794,940460.2200000002
ZZ-F2,10,63277357.980000004,45627889.32,0.7210776615297616,783079.5500000007,4664796.56,2321802.0300000003,0.49772846471143867,825964.8699999999
ZZ-F3,8,44526859.46,31726701.51,0.7125295135288214,2210248.9800000004,3237627.13,1857725.69,0.5737923532905409,486662.8800000001
ZZ-F4,13,77016670.50999999,51998301.85,0.6751564499694704,820279.1299999999,4627596.98,2291930.6300000004,0.4952744674839856,488948.42
ZZ-F5,10,60254544.739999995,43666460.57,0.7246998671788488,1220221.29,4227654.82,2256198.2600000002,0.5336760819086929,610301.3599999998
